snippet_id,path,language,input_scale_N,hardware_tdp,hardware_cores,target_energy_joules
adf7ea8a,data\snippets\adf7ea8a.py,9882,65.0,8,0.096211
4b1de1c1,data\snippets\4b1de1c1.py,10295,125.0,8,0.188978
865fc290,data\snippets\865fc290.py,99975,65.0,2,15573.097061
16ebe8f0,data\snippets\16ebe8f0.py,100458,125.0,2,31505.297465
686c9e65,data\snippets\686c9e65.py,99591,15.0,2,3725.328376
36e50d30,data\snippets\36e50d30.py,99682,125.0,16,9.041224
a000d07c,data\snippets\a000d07c.py,4552,125.0,2,0.370658
d3d3e95d,data\snippets\d3d3e95d.py,5263,65.0,16,0.010275
bdd1910d,data\snippets\bdd1910d.py,874,15.0,2,0.002584
0d728ac8,data\snippets\0d728ac8.py,5129,15.0,8,0.006026
9d608f1e,data\snippets\9d608f1e.py,713,65.0,4,0.001235
d6c7dacc,data\snippets\d6c7dacc.py,50325,15.0,8,22.081813
d284db34,data\snippets\d284db34.py,706,45.0,2,0.0013
f029b9ac,data\snippets\f029b9ac.py,10450,65.0,4,0.323571
6d400241,data\snippets\6d400241.py,50080,15.0,2,1.615836
f87a4061,data\snippets\f87a4061.py,9612,125.0,2,0.289324
23886d44,data\snippets\23886d44.py,10356,45.0,4,1.559737
d82c0822,data\snippets\d82c0822.py,100393,65.0,8,0.41354
5352ce57,data\snippets\5352ce57.py,4919,45.0,4,0.670756
625ace30,data\snippets\625ace30.py,546,65.0,8,0.000642
0962fbc7,data\snippets\0962fbc7.py,1474,45.0,8,0.003392
707630c7,data\snippets\707630c7.py,9814,45.0,8,0.026862
a9e9ce53,data\snippets\a9e9ce53.py,49803,65.0,8,523.029742
232c3167,data\snippets\232c3167.py,9912,45.0,4,0.13016
0819b16f,data\snippets\0819b16f.py,5066,15.0,16,0.002484
8ecaee90,data\snippets\8ecaee90.py,1197,125.0,8,0.009351
cdc5ca15,data\snippets\cdc5ca15.py,4643,65.0,16,0.060434
4ce265e9,data\snippets\4ce265e9.py,1021,15.0,4,0.001892
ddadc7d3,data\snippets\ddadc7d3.py,1466,45.0,4,0.006265
7172b294,data\snippets\7172b294.py,50365,45.0,16,0.068667
8ad00670,data\snippets\8ad00670.py,49843,15.0,16,10.26345
1aeab9f1,data\snippets\1aeab9f1.py,4739,125.0,4,0.475336
447e7ae2,data\snippets\447e7ae2.py,49803,15.0,8,0.402378
3745c322,data\snippets\3745c322.py,9931,45.0,16,0.054414
043e1ab9,data\snippets\043e1ab9.py,5351,125.0,16,0.058263
8a7a269e,data\snippets\8a7a269e.py,771,15.0,4,0.000878
1789a508,data\snippets\1789a508.py,4525,125.0,2,2.885225
4f67739b,data\snippets\4f67739b.py,731,15.0,16,0.0001
